"read_count(G)"	"read_count(NW)"	"read_count(S)"	"logFD:NW vs G"	"logFD:S vs G"	"logFD:S vs NW"	"FDR:NW vs G"	"FDR:S vs G"	"FDR:S vs NW"
"PdomMRNA00893.1"	51.6	120	72.25	1.97012914534874	NA	NA	0.000796451325799235	NA	NA
"PdomMRNA06208.1"	9023.8	3315.6	4902	-1.02715956970487	NA	NA	0.000878849648099336	NA	NA
"PdomMRNA04898.1"	88.8	229.2	192.25	1.92263474931348	NA	NA	0.000878849648099336	NA	NA
"PdomMRNA00074.1"	9299.4	2990.4	4250.75	-1.13115104126129	NA	NA	0.00107645032538598	NA	NA
"PdomMRNA05691.1"	870.8	1073.8	902.5	0.970801086481606	NA	NA	0.00107645032538598	NA	NA
"PdomMRNA04366.1"	653.8	1368.2	1045.5	1.43446460339465	NA	NA	0.00116166996826322	NA	NA
"PdomMRNA01461.1"	1647	522.4	1051.25	-1.19395421296835	NA	1.03141609146028	0.00140429651011757	NA	0.0342803778558024
"PdomMRNA06145.1"	4907.4	5318.4	4488.25	0.744025915594222	NA	NA	0.00141644540565891	NA	NA
"PdomMRNA06313.1"	7.4	75	46.75	3.60104488001083	NA	NA	0.00145633430727317	NA	NA
"PdomMRNA02940.1"	396.8	540	421.5	1.02763122944018	NA	NA	0.00146308980396167	NA	NA
"PdomMRNA04522.1"	21914.4	6829.2	11294	-1.25036635496785	NA	NA	0.00146308980396167	NA	NA
"PdomMRNA08940.1"	624.4	172.4	231.25	-1.39994806251594	NA	NA	0.00153787408996311	NA	NA
"PdomMRNA01249.1"	80	167.4	94.25	1.66225838160032	NA	NA	0.00167860926775538	NA	NA
"PdomMRNA00123.1"	676.6	956.4	822.25	1.05950980027119	NA	NA	0.00170859658152563	NA	NA
"PdomMRNA03552.1"	1481.6	360.6	602.25	-1.54253738191173	NA	NA	0.00173818366644695	NA	NA
"PdomMRNA04660.1"	5144.4	2116	2617.75	-0.774308776791124	NA	NA	0.00188985351351467	NA	NA
"PdomMRNA08591.1"	3035.6	935	1170.75	-1.26302419316731	NA	NA	0.00252693092239718	NA	NA
"PdomMRNA01060.1"	4495.2	10150	6588.5	2.01725360536454	NA	NA	0.00300826859803464	NA	NA
"PdomMRNA05588.1"	5315.8	5555.6	5013.5	0.792494173268103	NA	NA	0.00300826859803464	NA	NA
"PdomMRNA03980.1"	1231.8	453.8	666	-1.02015857117929	NA	NA	0.00340071804174886	NA	NA
"PdomMRNA09740.1"	3100.2	3335	3258.75	0.817167406896684	NA	NA	0.00350187078135739	NA	NA
"PdomMRNA11206.1"	1368.4	1449	1138.75	0.698249917792107	NA	NA	0.00370029813887343	NA	NA
"PdomMRNA05922.1"	73.4	423.8	239.75	3.05499698365758	NA	NA	0.00408362698255644	NA	NA
"PdomMRNA07757.1"	183	327.6	162.75	1.4170446831532	NA	NA	0.00445101410933957	NA	NA
"PdomMRNA03902.1"	5663.6	5771.2	5003.25	0.70409450291677	NA	NA	0.00445101410933957	NA	NA
"PdomMRNA00228.1"	12353	4275.2	6495.5	-1.09620278688716	NA	NA	0.00472666867593347	NA	NA
"PdomMRNA03731.1"	432.6	128.2	163.25	-1.34323642598847	NA	NA	0.00476610415718689	NA	NA
"PdomMRNA03714.1"	1200.4	333.8	473	-1.34506333128794	NA	NA	0.00477268147365034	NA	NA
"PdomMRNA00983.1"	4549.2	5178.6	4481.5	0.930594952393839	NA	NA	0.00534083016774397	NA	NA
"PdomMRNA05377.1"	1348	496.6	701.5	-1.03737975017065	NA	NA	0.00538350406101607	NA	NA
"PdomMRNA02893.1"	71.4	244	160.75	2.3030114282153	NA	NA	0.0053891214414219	NA	NA
"PdomMRNA04887.1"	821.2	898.6	678	0.780731411033477	NA	NA	0.0053891214414219	NA	NA
"PdomMRNA01709.1"	1173	1417.8	978.5	0.778997862562914	NA	NA	0.0053891214414219	NA	NA
"PdomMRNA06852.1"	1944	693.6	974.5	-0.881780835884331	NA	NA	0.0053891214414219	NA	NA
"PdomMRNA05122.1"	51	133.6	20.25	2.5056189666838	NA	-2.97254977626631	0.0053891214414219	NA	0.00628195715526519
"PdomMRNA10775.1"	282.2	385	355.5	1.21588153707103	NA	NA	0.0053891214414219	NA	NA
"PdomMRNA07016.1"	1043	1220	1045.75	1.04358797014272	NA	NA	0.00576722871547422	NA	NA
"PdomMRNA07753.1"	49.4	164.6	32	3.07322076903674	NA	-3.18980761526983	0.00616087421038024	NA	0.0312307378825383
"PdomMRNA04283.1"	4521.4	6457.4	5118.5	1.18048173755299	NA	NA	0.00625015279269748	NA	NA
"PdomMRNA00181.1"	170.6	7.4	140.75	-3.35036251003097	NA	3.74182789553012	0.00645586103400187	NA	0.00482517039805931
"PdomMRNA08147.1"	4864.6	2163.4	2470.25	-0.688508170353602	NA	NA	0.00653912802842757	NA	NA
"PdomMRNA07397.1"	187.4	248.4	199.75	1.06351559624563	NA	NA	0.00654968479680714	NA	NA
"PdomMRNA00674.1"	1203	1249.8	1108.75	0.681462816336783	NA	NA	0.00690833389687195	NA	NA
"PdomMRNA01077.1"	9086.4	3105.8	7006	-1.12039012157227	NA	NA	0.00739756603065563	NA	NA
"PdomMRNA10210.1"	1345.2	1462.2	1259.5	0.720522806928668	NA	NA	0.00739756603065563	NA	NA
"PdomMRNA02316.1"	3663.4	1531.4	1749.25	-0.690783489188434	NA	NA	0.00747837475197786	NA	NA
"PdomMRNA07254.1"	638.4	687.6	644	0.797665700900365	NA	NA	0.00757387929522472	NA	NA
"PdomMRNA01676.1"	912.2	315.4	373	-0.955660164348079	NA	NA	0.00757387929522472	NA	NA
"PdomMRNA07237.1"	50899.8	23520.2	30597.25	-0.635275370918529	NA	NA	0.00760672375690917	NA	NA
"PdomMRNA08936.1"	9908.4	4429.2	4938.25	-0.663170679860301	NA	NA	0.00760672375690917	NA	NA
"PdomMRNA02910.1"	3463.4	1586.4	2058.5	-0.569723564759029	NA	NA	0.00760672375690917	NA	NA
"PdomMRNA00950.1"	1924	2123.8	1898.5	0.852628742774783	NA	NA	0.00760672375690917	NA	NA
"PdomMRNA02274.1"	4162.4	1822.2	2253.25	-0.69767956039644	NA	NA	0.00760672375690917	NA	NA
"PdomMRNA05715.1"	1324.6	1435.2	1224.75	0.757433847845063	NA	NA	0.00794223697547408	NA	NA
"PdomMRNA03414.1"	142.6	324.2	146	2.0463829858037	NA	NA	0.00794382084021983	NA	NA
"PdomMRNA07556.1"	7328.4	3006	4441	-0.707428635129745	NA	NA	0.00864381432326839	NA	NA
"PdomMRNA04419.1"	4687.4	1934	2587.75	-0.729372871371693	NA	NA	0.0087259478591585	NA	NA
"PdomMRNA10151.1"	17074.4	7235.6	10584	-0.756840472115893	NA	NA	0.0087259478591585	NA	NA
"PdomMRNA07112.1"	1486.4	454.8	605	-1.20980864132537	NA	NA	0.00889111750881516	NA	NA
"PdomMRNA07849.1"	133.6	217.4	190	1.4616072797397	NA	NA	0.00889111750881516	NA	NA
"PdomMRNA08918.1"	12361.4	3553.6	4883.5	-1.17891416870045	NA	NA	0.00889111750881516	NA	NA
"PdomMRNA01697.1"	989.4	1007	851.5	0.745931294388576	NA	NA	0.00889111750881516	NA	NA
"PdomMRNA06491.1"	513.4	168.8	463.5	-1.19034659045973	NA	1.55607650759298	0.00909354685529857	NA	0.000727277262088739
"PdomMRNA05320.1"	164.2	33.2	120.25	-1.79587095933597	NA	NA	0.00909354685529857	NA	NA
"PdomMRNA05634.1"	106.2	9.4	42.25	-2.69102024175198	NA	NA	0.00912217736665469	NA	NA
"PdomMRNA05479.1"	2482.8	973.4	1168.5	-0.937960460595578	NA	NA	0.00938843925757472	NA	NA
"PdomMRNA06025.1"	301.8	400.6	257.5	1.09656272784022	NA	NA	0.00940125015801039	NA	NA
"PdomMRNA08468.1"	6701.6	2849.8	4269.5	-0.812698483419386	NA	NA	0.00952285628418656	NA	NA
"PdomMRNA00515.1"	1326.8	1346.4	1160.5	0.7744664204833	NA	NA	0.00954054780031908	NA	NA
"PdomMRNA02585.1"	39.4	137.8	57	3.12032368565027	NA	NA	0.00964597224717125	NA	NA
"PdomMRNA02119.1"	492.2	585.8	433.25	0.864767652467546	NA	NA	0.00964597224717125	NA	NA
"PdomMRNA04696.1"	98410	21767.2	60765.5	-1.5170252591942	NA	NA	0.00964597224717125	NA	NA
"PdomMRNA05119.1"	797.4	997.2	905.75	0.918493022780592	NA	NA	0.00964597224717125	NA	NA
"PdomMRNA10949.1"	1381	1471.6	1160	0.670256262944859	NA	NA	0.00978459391045992	NA	NA
"PdomMRNA00721.1"	865.4	879.4	703.25	0.766269748047147	NA	NA	0.00978459391045992	NA	NA
"PdomMRNA05126.1"	4663	5745.2	4524	0.986381286393722	NA	NA	0.00978459391045992	NA	NA
"PdomMRNA03377.1"	2094.2	2342.8	2096.75	0.762139643046117	NA	NA	0.00978459391045992	NA	NA
"PdomMRNA03683.1"	167.4	289.6	188.25	1.40531221362824	NA	NA	0.00986953276645696	NA	NA
"PdomMRNA06800.1"	958.4	353.2	492	-0.86430875381059	NA	NA	0.0101835856873159	NA	NA
"PdomMRNA01448.1"	140.4	28.6	57	-1.99591553403825	NA	NA	0.0102030186441667	NA	NA
"PdomMRNA04103.1"	1842	374.6	428.25	-1.72293727997171	NA	NA	0.0103660379327975	NA	NA
"PdomMRNA04147.1"	149366.4	29473.6	78346.5	-1.85035822623618	NA	NA	0.0110641959757518	NA	NA
"PdomMRNA09666.1"	5737.6	2663.8	2822.75	-0.676535614310532	NA	NA	0.0110641959757518	NA	NA
"PdomMRNA04961.1"	2282.8	1037.2	1255.5	-0.566392231203324	NA	NA	0.0115129306564758	NA	NA
"PdomMRNA03587.1"	5796.4	5949	5672.75	0.585649692028972	NA	NA	0.0117465964664901	NA	NA
"PdomMRNA10951.1"	561.8	700.2	562	1.11439466662102	NA	NA	0.0117465964664901	NA	NA
"PdomMRNA08773.1"	1972.6	2145.8	1931.25	0.93425466747096	NA	NA	0.0117465964664901	NA	NA
"PdomMRNA07925.1"	717.4	259	295	-0.917554307686651	NA	NA	0.011988469167765	NA	NA
"PdomMRNA03013.1"	73.2	10	33	-2.37047832612703	NA	NA	0.0123575024126623	NA	NA
"PdomMRNA07852.1"	6794.4	2681.8	3883.5	-0.849547826030856	NA	NA	0.013857519524338	NA	NA
"PdomMRNA04717.1"	838.6	1011.8	823.25	1.08112549001592	NA	NA	0.0140191274035562	NA	NA
"PdomMRNA01813.1"	1208	1290	1038	0.849094405320242	NA	NA	0.0145138065192691	NA	NA
"PdomMRNA02217.1"	13192.2	5365.8	7290.5	-0.68920764259861	NA	NA	0.0145138065192691	NA	NA
"PdomMRNA04090.1"	3185.4	3299.6	2738.75	0.749627546594236	NA	NA	0.0145601955524344	NA	NA
"PdomMRNA06108.1"	8621	1699.2	4505	-1.73684970218467	NA	NA	0.0145601955524344	NA	NA
"PdomMRNA00483.1"	5866.2	2686.4	3231	-0.634705359950157	NA	NA	0.0145601955524344	NA	NA
"PdomMRNA03458.1"	2559	2571.6	2016.25	0.767470370371462	NA	NA	0.0148858969362547	NA	NA
"PdomMRNA06181.1"	1852.6	817	1204.5	-0.719118891481626	NA	NA	0.0154694566516093	NA	NA
"PdomMRNA09432.1"	319.8	403.8	393	1.01366444680785	NA	NA	0.0154694566516093	NA	NA
"PdomMRNA00089.1"	2213	1062.8	1381.25	-0.575178044127427	NA	NA	0.0154694566516093	NA	NA
"PdomMRNA06827.1"	863.2	159	1062	-1.9743429068887	NA	2.73791270313591	0.0154694566516093	NA	0.000752582965184182
"PdomMRNA00097.1"	1456.4	662.6	818.75	-0.685564661264402	NA	NA	0.0157156401009463	NA	NA
"PdomMRNA06843.1"	20116	7674.8	11644	-0.70482294769016	NA	NA	0.0157344406121916	NA	NA
"PdomMRNA09630.1"	1191	1198.8	944	0.774776765904223	NA	NA	0.0157344406121916	NA	NA
"PdomMRNA08435.1"	1027	96.2	107	-3.05456685054008	NA	NA	0.0159329627403685	NA	NA
"PdomMRNA03140.1"	1213.8	441.6	585.5	-0.946960863862954	NA	NA	0.0159329627403685	NA	NA
"PdomMRNA04798.1"	2919.6	2856.8	2703.25	0.572507677087938	NA	NA	0.0159329627403685	NA	NA
"PdomMRNA02479.1"	905.2	1114.4	674.75	0.885597353239779	NA	NA	0.0163626354467669	NA	NA
"PdomMRNA05810.1"	1251.4	1233.6	1067.25	0.669074581254935	NA	NA	0.0169242971219929	NA	NA
"PdomMRNA04518.1"	492.6	626.4	494.25	1.28606984300489	NA	NA	0.0170328999762075	NA	NA
"PdomMRNA04386.1"	389.6	617.6	405.25	1.26031615267656	NA	NA	0.017264369743394	NA	NA
"PdomMRNA10641.1"	53124.2	54953	43386	0.717648012438465	NA	NA	0.017432831374371	NA	NA
"PdomMRNA01145.1"	176.8	546.2	239	2.33868797238483	NA	NA	0.0177649066237589	NA	NA
"PdomMRNA02576.1"	4658.2	2093	3034.75	-0.721725951798295	NA	NA	0.017966208080018	NA	NA
"PdomMRNA10804.1"	1388.8	1640.2	1355.25	0.815288076144149	NA	NA	0.0182082048237525	NA	NA
"PdomMRNA01416.1"	15800.4	7247.4	9429.25	-0.64678972389282	NA	NA	0.0182336783018646	NA	NA
"PdomMRNA00037.1"	8545.4	3696.8	4573	-0.61115243060542	NA	NA	0.0182778899548228	NA	NA
"PdomMRNA10645.1"	7564	3240.4	3866.25	-0.815970306557526	NA	NA	0.0182778899548228	NA	NA
"PdomMRNA04733.1"	408.2	112.2	160.5	-1.3321710917078	NA	NA	0.0182778899548228	NA	NA
"PdomMRNA05007.1"	6401.4	6535	6239.75	0.655633557168097	NA	NA	0.0182778899548228	NA	NA
"PdomMRNA05712.1"	4996.8	5077.8	4506	0.668200407428617	NA	NA	0.0194009215990743	NA	NA
"PdomMRNA06677.1"	2648.4	3861.4	4005.75	1.7557990801994	NA	NA	0.0194009215990743	NA	NA
"PdomMRNA03171.1"	652.4	912.4	330.5	1.43109835859941	NA	-2.1574562447853	0.0194779916289227	NA	0.000729579414316885
"PdomMRNA04647.1"	488.6	578.4	522.5	0.780222496658631	NA	NA	0.0202775926445174	NA	NA
"PdomMRNA00935.1"	1204.4	523.2	713	-0.821474430337212	NA	NA	0.0202775926445174	NA	NA
"PdomMRNA06597.1"	2851.2	2854.6	2562.5	0.66767261276201	NA	NA	0.0204236261797686	NA	NA
"PdomMRNA06403.1"	71809.6	34173.6	41060.5	-0.53912590836039	NA	NA	0.0204236261797686	NA	NA
"PdomMRNA00510.1"	26.4	333.4	84.5	3.79327039568959	NA	NA	0.0204236261797686	NA	NA
"PdomMRNA02145.1"	36.8	103.8	26.5	2.28162420049666	NA	NA	0.0204236261797686	NA	NA
