logFC	logCPM	PValue	FDR
PdomMRNA01796.1	4.76011392109136	0.878905571268267	1.34999948032103e-05	0.00229067911820872
PdomMRNA08591.1	-1.26302390746357	6.62636342315685	1.54223127265e-05	0.00252772001215535
PdomMRNA05714.1	1.59109581238431	6.14854901035625	1.54928619321167e-05	0.00252772001215535
PdomMRNA01060.1	2.01725360536454	8.98872413918603	1.88987501820193e-05	0.00300826859803464
PdomMRNA05588.1	0.792494173268103	8.41576844660365	1.93759691072019e-05	0.00300826859803464
PdomMRNA05334.1	-0.861766327183177	6.88470087214646	1.95019770028177e-05	0.00300826859803464
PdomMRNA03980.1	-1.02015644288761	5.44082060597709	2.23756283822115e-05	0.00338990769990504
PdomMRNA09740.1	0.817167406896684	7.67739382637237	2.35274203839429e-05	0.00350187078135739
PdomMRNA11206.1	0.698249810677511	6.32181359199572	2.52717719489083e-05	0.00369665022783686
PdomMRNA05922.1	3.05499699113089	4.0458968046346	2.83972738127304e-05	0.0040834317123255
PdomMRNA07757.1	1.41704476881164	3.80177113545691	3.16759328721309e-05	0.00445219699680209
PdomMRNA03902.1	0.704094525008678	8.43792793509761	3.20113173980348e-05	0.00445219699680209
PdomMRNA00228.1	-1.09620278688716	8.78681673746071	3.45418974431725e-05	0.00467343274228791
PdomMRNA03731.1	-1.34318911869876	3.73120934823242	3.47037084823359e-05	0.00467343274228791
PdomMRNA00193.1	0.809791081061039	7.10939720719214	3.55848612588857e-05	0.00471721817063104
PdomMRNA03714.1	-1.34506326661798	5.23676398978816	3.64581953120756e-05	0.0047586358311946
PdomMRNA00983.1	0.930594594894508	8.26844650819175	4.13714885385162e-05	0.00531811679940562
PdomMRNA05377.1	-1.03737935271308	5.51751608335475	4.24910038913823e-05	0.00538050264200728
PdomMRNA04887.1	0.780728069756709	5.62585986742316	4.49577264347503e-05	0.00544918679728312
PdomMRNA02893.1	2.30301024097487	3.39778563037953	4.54185789171445e-05	0.00544918679728312
PdomMRNA01709.1	0.778998829088098	6.18095082938413	4.58408073253963e-05	0.00544918679728312
PdomMRNA06852.1	-0.881781666450624	6.10045302248772	4.60515304960587e-05	0.00544918679728312
PdomMRNA09638.1	1.46266332226523	7.34042871050565	4.67629300053496e-05	0.00544918679728312
PdomMRNA05122.1	2.50563005522943	2.33249540809614	4.68871565537091e-05	0.00544918679728312
PdomMRNA10775.1	1.21590154693453	4.47373627369037	4.83712033927605e-05	0.00554569310248892
PdomMRNA07016.1	1.04358848649554	6.1774508627709	5.10535051729307e-05	0.00577517250516192
PdomMRNA07753.1	3.07323327275401	2.8804772790248	5.60140221966792e-05	0.00625015279269748
PdomMRNA04283.1	1.18048173755299	8.39932745673893	5.67258091746471e-05	0.00625015279269748
PdomMRNA00181.1	-3.35037981069246	2.356048285902	5.99091332138304e-05	0.00645586103400187
PdomMRNA09382.1	0.670735379488191	7.56443624723181	6.01146890247699e-05	0.00645586103400187
PdomMRNA08147.1	-0.688508091975183	7.48186525187424	6.24286026464542e-05	0.00651652182721714
PdomMRNA02532.1	-1.0934820510751	4.09271344091554	6.28927842092933e-05	0.00651652182721714
PdomMRNA03092.1	1.16951534596294	6.67455949698522	6.29838271843241e-05	0.00651652182721714
PdomMRNA07397.1	1.06354085160515	3.77307910442429	6.62875722425474e-05	0.00677570798681653
PdomMRNA00674.1	0.681463433302253	6.18685790057517	6.85638266282333e-05	0.00692494648945156
PdomMRNA01077.1	-1.12039015841148	8.40693685960013	7.42014805564266e-05	0.00739756603065563
PdomMRNA10210.1	0.720522806928668	6.38788130009735	7.49871144078717e-05	0.00739756603065563
PdomMRNA02316.1	-0.690783617684301	7.02862626142754	7.64892653044743e-05	0.00745902214762253
PdomMRNA01676.1	-0.955659923265983	4.89329525275284	7.95777967450714e-05	0.00759751833346204
PdomMRNA07254.1	0.797669300497836	5.32802897130202	7.97005105702642e-05	0.00759751833346204
PdomMRNA07237.1	-0.635275370918529	10.9374508763342	8.13311873592011e-05	0.00765878174777964
PdomMRNA08936.1	-0.663170679860301	8.50342009080113	8.21486491098476e-05	0.00765878174777964
PdomMRNA02910.1	-0.569723564759029	7.08136281336561	8.40472528225441e-05	0.00770087803540651
PdomMRNA02274.1	-0.697679711596192	7.27083971359589	8.44155654517687e-05	0.00770087803540651
PdomMRNA00950.1	0.852633195661011	7.02266870092097	8.61508111534961e-05	0.00777556895559852
PdomMRNA05715.1	0.757435894504866	6.3918875472402	8.97832480340226e-05	0.00801811659284892
PdomMRNA03414.1	2.04638939642714	3.78512554540557	9.09269150317265e-05	0.00803566611592883
PdomMRNA07556.1	-0.707428635129745	8.14020371830615	9.88272028945113e-05	0.00864381432326839
PdomMRNA04419.1	-0.729372812138405	7.46318068984564	0.000101131481205937	0.0087259478591585
PdomMRNA10151.1	-0.756840472115893	9.3092011938872	0.00010182329538622	0.0087259478591585
PdomMRNA07112.1	-1.20980850726172	5.56077754462242	0.000106566254255416	0.00892887107539168
PdomMRNA08918.1	-1.17891416870045	8.60770112031098	0.000107639305318987	0.00892887107539168
PdomMRNA07849.1	1.46162053462055	3.56661795504089	0.000108344298046757	0.00892887107539168
PdomMRNA01697.1	0.745933800694891	5.91076323679096	0.00010840095718592	0.00892887107539168
PdomMRNA05320.1	-1.79587235649725	2.55746214506293	0.000111321025559633	0.00902693496870194
PdomMRNA06491.1	-1.19033976625234	4.39317315358311	0.000111719492186905	0.00902693496870194
PdomMRNA05634.1	-2.69104429127273	1.63698570098054	0.000113580398386779	0.0090907179237116
PdomMRNA05479.1	-0.937960832058969	6.37630262986246	0.000118520300484132	0.00939744139539603
PdomMRNA06025.1	1.09657101234508	4.33176950637459	0.000121547977422795	0.00952285628418656
PdomMRNA08468.1	-0.812698483419386	8.01668291217081	0.000122346927743557	0.00952285628418656
PdomMRNA00515.1	0.774466302259987	6.3473234352034	0.00012366747627293	0.00953813516999581
PdomMRNA02119.1	0.864763992521339	4.9452529047563	0.000125350969380122	0.00958087949748609
PdomMRNA04696.1	-1.5170252591942	11.662306122782	0.000128888611725079	0.00970401308211778
PdomMRNA02585.1	3.12033700686612	2.73826417752821	0.000130268854304135	0.00970401308211778
PdomMRNA05119.1	0.918493699420114	5.75587840855619	0.000130393386534822	0.00970401308211778
PdomMRNA10949.1	0.670256262944859	6.30419969000542	0.000133925790736245	0.00984333887679194
PdomMRNA00196.1	1.31378144997381	4.79637246773499	0.000135651645671546	0.00984333887679194
PdomMRNA00721.1	0.76627179135663	5.68768394750808	0.000136235522438936	0.00984333887679194
PdomMRNA03377.1	0.762139643046117	7.07828235414442	0.000137242653859586	0.00984333887679194
PdomMRNA05126.1	0.986381687720799	8.33481233331665	0.000138066634410448	0.00984333887679194
PdomMRNA03683.1	1.40531412095122	3.79034256223195	0.000140931130949199	0.00996383095810835
PdomMRNA06800.1	-0.864307463980265	5.04658937958335	0.000144569817664686	0.0101366143228694
PdomMRNA01448.1	-1.99589616529602	2.12902489251252	0.000145772110599862	0.0101371359535183
PdomMRNA04103.1	-1.72293732462738	5.70678337352884	0.000150260713584899	0.0103643243419047
PdomMRNA04147.1	-1.85035822623618	12.2452317728193	0.000162680230786649	0.0110641959757518
PdomMRNA09666.1	-0.676535614310532	7.70248447993165	0.000163015617275928	0.0110641959757518
PdomMRNA07428.1	0.983602095998027	7.14617787032827	0.000169368499034327	0.0114041456016447
PdomMRNA02024.1	-2.37044193021552	5.91063008379075	0.000172275497499952	0.0114749432615593
PdomMRNA04961.1	-0.566392333406919	6.4473491529228	0.000173125027991465	0.0114749432615593
PdomMRNA08270.1	-0.740356135581158	6.99672640519028	0.000180660310791463	0.0117378202941656
PdomMRNA09279.1	1.75378800637835	3.77360504084753	0.000181727450535369	0.0117378202941656
PdomMRNA03587.1	0.585649692028972	8.43786964844292	0.000184095390918555	0.0117378202941656
PdomMRNA08773.1	0.934254297209417	7.09400964477836	0.00018526855520325	0.0117378202941656
PdomMRNA06498.1	0.844044038493239	9.27333491236945	0.000185356457844055	0.0117378202941656
PdomMRNA10951.1	1.11439429655931	5.2246943679477	0.000185392258300117	0.0117378202941656
PdomMRNA07925.1	-0.917556633520389	4.61993275149467	0.000189674674557898	0.0119199995477719
PdomMRNA03013.1	-2.37045583164323	1.23625612652202	0.000197099027980716	0.0122955011278558
PdomMRNA08174.1	-0.659670357752169	7.57605193119819	0.000201194465132917	0.0124593711108589
PdomMRNA07852.1	-0.849547826030856	7.96832415979078	0.000225405197354862	0.013857519524338
PdomMRNA04717.1	1.0811266680845	5.90677188062332	0.000230317235452212	0.0140576361552271
PdomMRNA01813.1	0.849094947151734	6.25732340368837	0.000240684819469565	0.0145138065192691
PdomMRNA02217.1	-0.68920764259861	8.91661448764267	0.000241212484584741	0.0145138065192691
PdomMRNA04090.1	0.749627546594236	7.58276892170334	0.000244839810265666	0.0145603103384602
PdomMRNA06108.1	-1.73684970218467	8.18374998074006	0.000246249135466645	0.0145603103384602
PdomMRNA00483.1	-0.634705361113714	7.77903877434809	0.000247133980285039	0.0145603103384602
PdomMRNA03458.1	0.767470370371462	7.2646239780689	0.000254414787335801	0.0148858969362547
PdomMRNA06181.1	-0.719118153821849	6.14663035537015	0.00026756223827459	0.0154733842286174
PdomMRNA09432.1	1.01366844640859	4.61640917033923	0.000271466536149353	0.0154733842286174
PdomMRNA00089.1	-0.575178755466362	6.47214305290651	0.000271627823922959	0.0154733842286174
PdomMRNA06827.1	-1.97434291325965	5.36050566526321	0.000271750854557284	0.0154733842286174
PdomMRNA08391.1	0.751795129309493	9.88419216386767	0.000277203410876377	0.015616353502709
PdomMRNA00097.1	-0.685559604112034	5.77504210648399	0.000277943113968536	0.015616353502709
PdomMRNA06843.1	-0.70482294769016	9.53026216337359	0.000283068521160601	0.0157361264538644
PdomMRNA09630.1	0.774776828486435	6.16688003951775	0.000283784458680017	0.0157361264538644
PdomMRNA08435.1	-3.05456685238676	4.61095344753369	0.00028965675534284	0.0159188954204816
PdomMRNA03140.1	-0.946959421705839	5.3282271908432	0.000290833190732514	0.0159188954204816
PdomMRNA04798.1	0.572507653775701	7.45016652944576	0.000292902820472612	0.0159294072364721
PdomMRNA02479.1	0.885597369006155	5.74846607492769	0.000302680785793344	0.0163563298514059
PdomMRNA05810.1	0.66907604693997	6.19366647111219	0.000316271290267086	0.0169825672571263
PdomMRNA04518.1	1.28607352853906	5.24765224916408	0.000320889657102791	0.0171221877412583
PdomMRNA04386.1	1.26031706399802	4.90678852527223	0.000327395189016802	0.0173601298976159
PdomMRNA10641.1	0.717648052765982	11.6213084585212	0.000332669956125571	0.017530260296704
PdomMRNA01145.1	2.33868855458227	4.3275037545918	0.000340066677956354	0.0177226082844454
PdomMRNA02576.1	-0.721723261363186	7.51325632230443	0.000340498013951509	0.0177226082844454
PdomMRNA10804.1	0.815288076570625	6.48304146429916	0.000352383491990779	0.0182024904616214
PdomMRNA01416.1	-0.646789657173916	9.25981830948298	0.000354008831467177	0.0182024904616214
PdomMRNA00037.1	-0.61115243060542	8.32972081338351	0.000359003279424626	0.0182778899548228
PdomMRNA10645.1	-0.815970523540458	8.04423799025724	0.000361444158814648	0.0182778899548228
PdomMRNA04733.1	-1.33217045283536	3.67136683558359	0.000362556775260423	0.0182778899548228
PdomMRNA05007.1	0.655633557168097	8.60033878556351	0.000364092810274052	0.0182778899548228
PdomMRNA05712.1	0.668200407428617	8.21737853996235	0.000389558572427322	0.0193999040508361
PdomMRNA06677.1	1.75579907630786	8.16345252811267	0.000391016453641322	0.0193999040508361
PdomMRNA03171.1	1.43110091929067	5.52535809777566	0.000400444893266038	0.019647444468617
PdomMRNA06213.1	2.69468959106083	1.2188193245202	0.000400637422568452	0.019647444468617
PdomMRNA04647.1	0.78022246647078	5.04719249277396	0.000419155813019932	0.0203120911265514
PdomMRNA03120.1	0.590217763460018	6.83680155997184	0.000422492215741102	0.0203120911265514
PdomMRNA01962.1	-0.68797369252263	7.19222920356833	0.000422723923574126	0.0203120911265514
PdomMRNA00935.1	-0.821483269312258	5.49616954694495	0.000423767106247007	0.0203120911265514
PdomMRNA06597.1	0.667672899912546	7.41765384310851	0.000431383319356033	0.0204159358299801
PdomMRNA06403.1	-0.53912590836039	11.4771680002207	0.000432364480022126	0.0204159358299801
PdomMRNA00510.1	3.79327037838642	3.11794461907278	0.000435175264543807	0.0204159358299801
PdomMRNA10574.1	0.93564248100562	5.56179599345452	0.000439537497433599	0.0204159358299801
PdomMRNA02145.1	2.28163456468237	1.96246746494365	0.000440024484780118	0.0204159358299801
PdomMRNA01203.1	-0.742874103795892	5.11081397801875	0.000440372024621211	0.0204159358299801
PdomMRNA05876.1	2.83151717462877	3.1787264113439	0.000445301903098846	0.0205307568909513
PdomMRNA00435.1	-0.792280367900792	5.2480167588409	0.000447688593213812	0.0205307568909513
PdomMRNA08929.1	0.777935717893364	6.09877623571857	0.000450695374810055	0.0205575245155296
PdomMRNA02076.1	-0.752315880231484	5.17979244198091	0.000456191268238733	0.0206969343301466
PdomMRNA06097.1	0.700159810890437	6.22363145099254	0.000466512521854161	0.0210526182734612
PdomMRNA05222.1	-0.597518909923835	10.7036369349684	0.000469533291360816	0.02107682774553
PdomMRNA01226.1	-0.727231972026048	6.60366031634089	0.00047802685439786	0.0213451570142707
PdomMRNA00032.1	1.2607876397406	4.50274960342972	0.000490708675023155	0.0217967141303479
PdomMRNA01911.1	-0.641284173565621	8.31646246074002	0.000497030989389968	0.0219625568436692
PdomMRNA03981.1	-1.58703006189339	2.58532414511048	0.000500417594955037	0.0219884562653467
PdomMRNA10150.1	1.84835401351153	1.82025356751345	0.000502800626529616	0.0219884562653467
PdomMRNA11103.1	1.74597990886573	7.44514349140313	0.000514089279419093	0.0223668381876492
PdomMRNA09673.1	1.64145704502276	3.10159346641059	0.000519333488818593	0.0224797210160048
PdomMRNA04243.1	2.12000273103364	0.99592060048101	0.000525837626491551	0.0226457178840321
PdomMRNA02543.1	-2.57801567880753	1.29135008796642	0.000529868762648546	0.0227040736480316
PdomMRNA02521.1	0.53865253982082	7.58944428767105	0.000535526024890971	0.022831169825
PdomMRNA09376.1	0.554907926779177	8.58872609820888	0.00057106677160016	0.0242246524512788
PdomMRNA08377.1	-1.44758198597172	5.26138664834993	0.000584809918417001	0.0246842156609445
PdomMRNA09983.1	-1.42416119749843	5.27844893630115	0.000589851780400732	0.0247737747768307
PdomMRNA05667.1	-0.562713952007208	8.0613851703564	0.000648558304147492	0.0271052642974745
PdomMRNA07909.1	0.594767767485846	7.0371281879381	0.000665236667935417	0.0275232949285055
PdomMRNA07518.1	-0.555863177090553	6.73526559657399	0.000666428989743848	0.0275232949285055
PdomMRNA08700.1	-0.669614354597996	7.25943776808343	0.000668293111182477	0.0275232949285055
PdomMRNA06373.1	0.650605815645483	5.96880432813542	0.000694476867918935	0.0283209092646172
PdomMRNA04745.1	-0.918399973107346	5.06904265498759	0.000695102125236298	0.0283209092646172
PdomMRNA03650.1	0.700992178325631	7.33289189342349	0.000697674450295262	0.0283209092646172
PdomMRNA04461.1	0.846910608550139	5.65494182798973	0.000708806484541367	0.0285474196315585
PdomMRNA09998.1	0.972082963663983	6.56087755769453	0.000712901707075295	0.0285474196315585
PdomMRNA04227.1	-3.06318133961729	1.20099243048227	0.000713934832867693	0.0285474196315585
PdomMRNA04685.1	0.601644144467913	6.36250502724111	0.000716713859208152	0.0285474196315585
PdomMRNA09086.1	-0.989174001010494	5.96172755010008	0.000728056500234988	0.0288636978878208
PdomMRNA06595.1	0.577896379395156	6.62537022873276	0.000733580109738105	0.0288694405764049
PdomMRNA08594.1	-1.72265053843132	1.49801413439759	0.000735006973656701	0.0288694405764049
PdomMRNA07516.1	-4.52103413375634	2.16851739194799	0.000742194400692953	0.0290174068916084
PdomMRNA09328.1	1.15530296506572	3.10574601454556	0.000767638773283773	0.0298745291400896
PdomMRNA06993.1	0.694319058015841	7.26722104788128	0.000774818216438556	0.0300162454258663
PdomMRNA00505.1	-2.19717715465105	6.22550079264278	0.000780315519538833	0.0300918039443975
PdomMRNA10096.1	0.723873468057918	5.47686193941559	0.000792336906267316	0.030417132636977
PdomMRNA06119.1	0.599641731392259	6.18138026337112	0.000804624065150461	0.0307496872465609
PdomMRNA08504.1	-0.665742177918909	6.95912844764014	0.000811782205128128	0.0308841265843365
PdomMRNA03883.1	1.31796871293412	3.41889991730224	0.000816546618325787	0.0309267031690892
PdomMRNA02954.1	0.58412727975669	6.56739340493729	0.000827285923633556	0.0310622335176929
PdomMRNA05962.1	0.886746718302709	7.11273391463956	0.000834792664887965	0.0310622335176929
PdomMRNA09606.1	1.66202561415948	2.53294442882871	0.000835827991676145	0.0310622335176929
PdomMRNA09906.1	0.818890618037849	6.44613811848521	0.000840317646634963	0.0310622335176929
PdomMRNA06504.1	-1.41474247660088	4.94994046441495	0.000840500380496231	0.0310622335176929
PdomMRNA02248.1	-0.546094017773287	6.48317044235151	0.0008420926106871	0.0310622335176929
PdomMRNA08048.1	-0.722311526463656	5.30663082574612	0.000855798849365712	0.0314311577403407
PdomMRNA06444.1	-0.712611963460256	8.12103603586408	0.00088167797461416	0.0322420514509765
PdomMRNA04453.1	-0.76314528751146	5.586806613604	0.000899453632939651	0.0327094163845678
PdomMRNA06390.1	1.18596758865375	3.75285885646839	0.000902169193067994	0.0327094163845678
PdomMRNA00046.1	1.30731748373085	3.39957236129637	0.00091006322093301	0.0327724245118533
PdomMRNA08547.1	0.719428293939375	7.66213305730932	0.000911632742196767	0.0327724245118533
PdomMRNA02414.1	-0.680682400390815	6.48798276514417	0.000926342425659648	0.0331607136679175
PdomMRNA04850.1	0.625638771649052	6.54324834275073	0.000936740669996217	0.033329003417532
PdomMRNA06819.1	0.539927166893754	9.25823586282676	0.000938900497028541	0.033329003417532
PdomMRNA06711.1	1.21789525214812	3.66274361731973	0.000944172115417103	0.0333764842799946
PdomMRNA04415.1	-0.737542908045155	8.48773801410748	0.00094899469285022	0.0334077633781795
PdomMRNA07408.1	0.820417799208653	4.3123962655834	0.000953482213017774	0.0334270375836479
PdomMRNA02925.1	-0.754959705678486	8.51053587921436	0.000966012693030395	0.0337269616776538
PdomMRNA00553.1	-0.804851890306479	8.1703212783672	0.000976455830787939	0.0339518494606757
PdomMRNA10130.1	-0.6841532994475	5.95026776304935	0.00100101754930586	0.0346638077073916
PdomMRNA01182.1	-0.670954876860725	7.1335409389328	0.00100771260691764	0.0347537957605253
PdomMRNA06935.1	0.586786306116117	8.33429310704425	0.0010310790525393	0.0353983851242483
PdomMRNA01618.1	1.19549207379104	9.32451420256914	0.00103474770283046	0.0353983851242483
PdomMRNA05863.1	-2.90796896291582	1.66826734924019	0.001040956799855	0.0354677810842163
PdomMRNA11052.1	1.84663721411825	1.28648530523948	0.00105735865540042	0.0358825233296686
PdomMRNA05738.1	0.679989102777825	6.6761548291466	0.0011011718461825	0.0370821948842655
PdomMRNA04292.1	-0.617694720506115	5.31220046590471	0.001101451333196	0.0370821948842655
PdomMRNA02445.1	-0.63963621621606	6.58162559263287	0.00111336009024248	0.0373349684016491
PdomMRNA02919.1	-3.52603893020423	2.75394868304963	0.00111926647183143	0.0373852627835349
PdomMRNA09696.1	0.534297049188132	6.66964280986064	0.00113070641868431	0.0376192676710497
PdomMRNA04224.1	-1.67720908964364	6.50638176383024	0.00117342852219477	0.0388881546183609
PdomMRNA04061.1	-1.2269452484944	4.29748329898351	0.00119751401831624	0.0395319413672955
PdomMRNA05224.1	-1.04520272435444	8.18310569406215	0.00120477565421879	0.0396175063968689
PdomMRNA05787.1	1.75898841277326	3.50899530003152	0.00122131112795782	0.0400061915428346
PdomMRNA01251.1	1.88814987929316	6.689205015724	0.00123438992989706	0.0401875077775649
PdomMRNA08235.1	-0.580539922015724	10.8912137870801	0.00123632007660826	0.0401875077775649
PdomMRNA06801.1	0.706485043923243	6.07812199405252	0.00125695438675933	0.0406856189744777
PdomMRNA04205.1	0.472843581992146	8.21586700333606	0.00126123500592735	0.0406856189744777
PdomMRNA04987.1	0.598514857561118	7.3214234866472	0.001278504755819	0.0410864937438197
PdomMRNA01649.1	-1.17909496023595	12.2530788273333	0.00130408700494847	0.0417478107032556
PdomMRNA03372.1	-0.79329030409317	5.62192587240955	0.00130892475802287	0.0417478107032556
PdomMRNA07056.1	0.615211893823656	6.35126024496834	0.00132876159908736	0.0421700737930327
PdomMRNA04496.1	-1.40977880065049	4.34949582749924	0.00133210511274549	0.0421700737930327
PdomMRNA07417.1	0.590940009917718	5.66079246219242	0.00133866148137585	0.0422200892490435
PdomMRNA05687.1	-0.475977966637683	7.64284246438048	0.00135315731576277	0.0423376480508257
PdomMRNA01095.1	0.722134435473983	4.98936000616012	0.0013561479868058	0.0423376480508257
PdomMRNA06153.1	0.707583361105423	4.9389614739104	0.00136277797444607	0.0423376480508257
PdomMRNA03200.1	-0.981494957126353	7.45708267182503	0.00136931882196357	0.0423376480508257
PdomMRNA02178.1	-0.717268726594719	5.57880815056791	0.00137270284810211	0.0423376480508257
PdomMRNA02931.1	0.520126586169586	9.41186650389959	0.00137729182816541	0.0423376480508257
PdomMRNA07213.1	1.02274604707595	7.34873178529606	0.00137732094083308	0.0423376480508257
PdomMRNA08043.1	-0.780148369770633	8.23207411240299	0.00144008758060427	0.0441072311691213
PdomMRNA05029.1	0.758906177266723	6.00426387442399	0.00145678781323264	0.0444529141326356
PdomMRNA03356.1	-0.686380944696176	5.72032775895609	0.00146606908967071	0.0444529141326356
PdomMRNA10085.1	-0.715441044058757	5.51881225126084	0.00146709287566454	0.0444529141326356
PdomMRNA00389.1	1.53336933180406	1.5124749325735	0.00147750412469878	0.0444773295085283
PdomMRNA07982.1	0.51317959740028	9.22879172347293	0.00147951401194777	0.0444773295085283
PdomMRNA08325.1	-0.477807058541238	11.1620167969759	0.00148362614932974	0.0444773295085283
PdomMRNA07653.1	1.11471075174775	3.77644492658817	0.00152237240290998	0.0454589912398924
PdomMRNA06302.1	-0.848740843046453	5.60439559960461	0.00152708775381534	0.0454589912398924
PdomMRNA10281.1	-1.16342875847061	2.82015156660926	0.00154499888631096	0.0457664478837342
PdomMRNA00260.1	2.82958045415287	2.40051322681939	0.00154820492015932	0.0457664478837342
PdomMRNA07131.1	0.715132725706109	5.71221385565406	0.00155635287494993	0.0458475617745666
PdomMRNA08506.1	-0.832662953323824	7.68437104193174	0.00156898299243985	0.0460411868491533
PdomMRNA06846.1	-0.745557114070908	4.78101093416927	0.00157797205846133	0.0460411868491533
PdomMRNA01971.1	0.996064085577678	4.71985370737841	0.00157920619673545	0.0460411868491533
PdomMRNA02367.1	0.933059207799332	4.1430950895889	0.00162770745495145	0.0472927056431784
PdomMRNA01425.1	-2.32734822810286	1.11405137995388	0.00164608297631829	0.0476633719149636
PdomMRNA04507.1	0.669249348557315	10.3210383488639	0.0016538108861449	0.0477242570001813
PdomMRNA08894.1	1.58680734593132	7.02494094939222	0.00167581870561933	0.0481954098253368
PdomMRNA06876.1	-0.598946769285834	8.38801461831319	0.00168482182393613	0.0482906363320072
